filename,lr_size,hr_size,scale_x,scale_y,ssim,color_drift,sharpness_ratio,bad,reasons
pkmn_00079_.png,192x206,768x824,4.0,4.0,0.8918,4.0375,0.8651,False,
pkmn_00080_.png,192x206,768x824,4.0,4.0,0.8725,3.5647,0.6448,False,
pkmn_00081_.png,192x206,768x824,4.0,4.0,0.9059,3.8987,0.6711,False,
pkmn_00082_.png,192x206,768x824,4.0,4.0,0.9133,2.7277,0.8053,False,
pkmn_00083_.png,192x206,768x824,4.0,4.0,0.9006,3.1597,0.8349,False,
pkmn_00084_.png,192x206,768x824,4.0,4.0,0.8871,3.5031,0.7581,False,
pkmn_00085_.png,192x206,768x824,4.0,4.0,0.9328,1.5499,0.6909,False,
pkmn_00086_.png,192x206,768x824,4.0,4.0,0.9,2.4435,0.7733,False,
pkmn_00087_.png,192x206,768x824,4.0,4.0,0.9205,2.8011,0.8831,False,
pkmn_00088_.png,192x206,768x824,4.0,4.0,0.8539,3.0501,0.762,False,
pkmn_00089_.png,192x206,768x824,4.0,4.0,0.9075,5.1807,0.8339,False,
pkmn_00090_.png,192x206,768x824,4.0,4.0,0.8992,2.8126,0.7151,False,
pkmn_00091_.png,192x206,768x824,4.0,4.0,0.8906,3.8246,0.7922,False,
pkmn_00092_.png,192x206,768x824,4.0,4.0,0.9237,2.0167,0.8064,False,
pkmn_00093_.png,192x206,768x824,4.0,4.0,0.9104,2.549,0.7675,False,
pkmn_00094_.png,192x206,768x824,4.0,4.0,0.9131,5.6529,0.7184,False,
pkmn_00095_.png,192x206,768x824,4.0,4.0,0.8992,3.2416,0.757,False,
pkmn_00096_.png,192x206,768x824,4.0,4.0,0.8822,4.9085,0.6976,False,
pkmn_00097_.png,192x206,768x824,4.0,4.0,0.8885,5.0692,0.7845,False,
pkmn_00098_.png,192x206,768x824,4.0,4.0,0.8698,6.2716,0.7289,False,
pkmn_00099_.png,192x206,768x824,4.0,4.0,0.905,4.4365,0.7594,False,
pkmn_00100_.png,192x206,768x824,4.0,4.0,0.8996,4.1573,0.7114,False,
pkmn_00101_.png,192x206,768x824,4.0,4.0,0.8511,5.063,0.7585,False,
pkmn_00102_.png,192x206,768x824,4.0,4.0,0.8941,5.3978,0.8072,False,
pkmn_00103_.png,192x206,768x824,4.0,4.0,0.8886,3.809,0.7399,False,
pkmn_00104_.png,192x206,768x824,4.0,4.0,0.8967,3.3878,0.7984,False,
pkmn_00105_.png,192x206,768x824,4.0,4.0,0.889,5.9095,0.7357,False,
pkmn_00106_.png,192x206,768x824,4.0,4.0,0.8912,3.5346,0.8016,False,
pkmn_00107_.png,192x206,768x824,4.0,4.0,0.9055,3.5329,0.7228,False,
pkmn_00108_.png,192x206,768x824,4.0,4.0,0.9224,3.5861,0.6818,False,
pkmn_00109_.png,192x206,768x824,4.0,4.0,0.8791,4.0664,0.7456,False,
pkmn_00110_.png,192x206,768x824,4.0,4.0,0.9006,2.7086,0.7685,False,
